idx,group,sigma_rad,p,runID,Photon_Hit_si,lightCollectionEfficiency,Escaped_CrystalAbsorbed,Escaped_TopAir,Escaped_SideAir,Escaped_PTFE,Escaped_Other,Mean_IncidenceAngle_deg,Mean_HitCount,log,mac
0,sigma_sweep_p0.8,0.0,0.8,0,4597.0,0.4597,468.0,0.0,0.0,633.0,4302.0,21.4261,1.0,logs/00_sigma_sweep_p0.8_sigma0_p0.8.log,mac/00_sigma_sweep_p0.8_sigma0_p0.8.mac
1,sigma_sweep_p0.8,0.1,0.8,0,5486.0,0.5486,465.0,0.0,0.0,623.0,3426.0,20.0116,1.0,logs/01_sigma_sweep_p0.8_sigma0.1_p0.8.log,mac/01_sigma_sweep_p0.8_sigma0.1_p0.8.mac
