p,sigma_rad,wallTime_s,runID,ScintPhotonCount,CherenkovPhotonCount,PhotonHitSi,eps_col,Esc_CrystalAbsorbed,Esc_TopAir,Esc_SideAir,Esc_PTFE,Esc_Grease,Esc_World,Mean_IncidenceAngle_deg,Mean_HitCount
0.8,0.20,1.78,0,0,0,849,0.864562,37,0,0,73,10,6,20.4425,1
1.0,0.20,1.74,0,0,0,798,0.850746,22,0,16,76,8,9,21.9292,1
0.0,0.30,1.75,0,0,0,904,0.916836,65,0,0,3,6,0,21.0309,1.00111
0.1,0.30,1.77,0,0,0,896,0.896,64,0,0,24,9,1,20.9175,1
0.2,0.30,1.76,0,0,0,768,0.897196,48,0,0,27,7,0,20.4434,1
0.3,0.30,1.74,0,0,0,885,0.885,48,0,0,47,11,2,20.6867,1
0.4,0.30,1.74,0,0,0,843,0.879958,42,0,0,58,7,3,20.2346,1
0.5,0.30,1.72,0,0,0,846,0.880333,42,0,0,56,7,4,20.5221,1
0.6,0.30,1.76,0,0,0,846,0.873065,35,0,0,62,13,7,20.5017,0.998818
0.7,0.30,1.74,0,0,0,715,0.859375,34,0,0,62,9,6,20.8039,1
0.8,0.30,1.76,0,0,0,870,0.87,35,0,0,69,10,7,21.0104,0.998849
1.0,0.30,1.78,0,0,0,746,0.850627,20,0,14,73,7,9,21.996,1
0.0,0.40,1.81,0,0,0,824,0.915556,56,0,0,2,9,0,20.1721,1
0.1,0.40,1.77,0,0,0,889,0.898888,56,0,0,16,16,1,21.0117,1
0.2,0.40,1.81,0,0,0,843,0.886435,51,0,0,35,10,1,20.8937,0.998814
0.3,0.40,1.75,0,0,0,759,0.881533,40,0,0,44,10,3,21.7665,1.00132
0.4,0.40,1.73,0,0,0,862,0.878695,44,0,0,51,13,3,20.4381,1
0.5,0.40,1.75,0,0,0,782,0.867925,42,0,0,56,8,5,20.7123,1
0.6,0.40,1.74,0,0,0,832,0.866667,39,0,0,64,12,5,20.5754,1
0.7,0.40,1.79,0,0,0,865,0.865,34,0,0,74,14,5,21.6466,1
0.8,0.40,1.73,0,0,0,751,0.87022,32,0,0,62,10,2,21.2557,1
1.0,0.40,1.73,0,0,0,782,0.852781,21,0,15,74,7,9,21.7663,1
0.0,0.50,1.75,0,0,0,918,0.918,61,0,0,2,9,0,21.9021,1
0.1,0.50,1.78,0,0,0,760,0.913462,42,0,0,9,13,1,20.9954,1
0.2,0.50,1.87,0,0,0,703,0.895541,44,0,0,22,9,3,21.0971,1
0.3,0.50,1.76,0,0,0,731,0.874402,42,0,0,46,10,4,21.4707,1
0.4,0.50,1.76,0,0,0,803,0.869048,37,0,0,57,12,8,21.0778,1.00125
0.5,0.50,1.75,0,0,0,827,0.875132,35,0,0,56,9,9,21.915,1
0.6,0.50,1.77,0,0,0,857,0.871821,33,0,0,63,11,9,20.9592,1
0.7,0.50,1.77,0,0,0,754,0.855846,29,0,0,69,11,9,21.0391,1
0.8,0.50,1.75,0,0,0,815,0.86518,28,0,0,66,15,9,21.2491,1
1.0,0.50,1.76,0,0,0,673,0.848676,20,0,12,70,5,6,22.1153,0.998512
