p,sigma_rad,wallTime_s,runID,ScintPhotonCount,CherenkovPhotonCount,PhotonHitSi,eps_col,Esc_CrystalAbsorbed,Esc_TopAir,Esc_SideAir,Esc_PTFE,Esc_Grease,Esc_World,Mean_IncidenceAngle_deg,Mean_HitCount,theory_M1,theory_M2,delta_to_M1,delta_to_M2,within_M2_M1
0.1,0.08,1.74,0,0,0,860,0.88843,71,0,0,22,7,0,19.703,1.0,0.8771941549519597,0.23946005524044872,0.011235845048040316,0.6489699447595514,False
0.2,0.08,1.73,0,0,0,852,0.877446,63,0,0,37,5,2,20.4818,0.998826,0.7899412654624756,0.25159863734790416,0.08750473453752439,0.6258473626520957,False
0.3,0.08,1.74,0,0,0,759,0.866438,51,0,0,49,7,3,20.901,1.0,0.7244439061954702,0.2653144783984542,0.14199409380452988,0.6011235216015458,False
0.4,0.08,1.78,0,0,0,763,0.863122,46,0,0,55,7,5,20.0191,0.998689,0.6732375992603127,0.28101867557242205,0.18988440073968726,0.582103324427578,False
0.5,0.08,1.74,0,0,0,805,0.878821,42,0,0,51,7,3,20.0243,1.0,0.6319308313157002,0.2993086401927186,0.2468901686842998,0.5795123598072813,False
0.6,0.08,1.76,0,0,0,845,0.876556,40,0,0,54,12,3,19.9561,0.998817,0.5977708810665909,0.32109936987777155,0.27878511893340907,0.5554566301222285,False
0.7,0.08,1.75,0,0,0,864,0.864,42,0,0,67,11,5,20.9231,1.0,0.5689443020576319,0.3478896108317302,0.2950556979423681,0.5161103891682698,False
0.8,0.08,1.74,0,0,0,778,0.862528,34,0,0,63,15,4,21.1817,1.0,0.5442075460664917,0.3823612174388518,0.3183204539335083,0.48016678256114814,False
1.0,0.08,1.77,0,0,0,849,0.849,23,0,18,81,8,10,21.8325,0.998819,0.5037169578088685,0.5037169578088685,0.3452830421911315,0.3452830421911315,False
0.0,0.1,1.78,0,0,0,770,0.906949,62,0,0,3,7,2,20.6313,1.0,0.9999999999999969,0.23570428599893403,-0.09305099999999689,0.671244714001066,True
0.1,0.1,1.75,0,0,0,780,0.879369,74,0,0,17,6,1,19.4652,1.0,0.9095982446912869,0.24773812313177063,-0.03022924469128696,0.6316308768682293,True
0.2,0.1,1.73,0,0,0,883,0.883,57,0,0,40,8,3,19.1102,1.0,0.8382218664790997,0.26130598203768,0.04477813352090032,0.62169401796232,False
0.3,0.1,1.75,0,0,0,792,0.876106,49,0,0,46,5,4,19.6907,0.997472,0.7802917508147738,0.27677780730748375,0.0958142491852263,0.5993281926925162,False
0.4,0.1,1.74,0,0,0,828,0.868835,48,0,0,58,7,2,19.583,1.0,0.732221428604168,0.29466953702567794,0.13661357139583208,0.574165462974322,False
0.5,0.1,1.75,0,0,0,879,0.87988,49,0,0,51,9,1,19.5032,1.0,0.6916001252178834,0.3157286930798222,0.1882798747821166,0.5641513069201778,False
0.6,0.1,1.8,0,0,0,773,0.869516,39,0,0,53,10,3,20.3047,1.0,0.656747288078969,0.34109045231051355,0.21276871192103097,0.5284255476894864,False
0.7,0.1,1.76,0,0,0,803,0.868108,43,0,0,56,9,2,20.8232,1.0,0.6264554057727998,0.3725837660442517,0.2416525942272002,0.4955242339557483,False
0.8,0.1,1.81,0,0,0,871,0.871,39,0,0,64,15,1,21.3285,1.0,0.5998343773173245,0.41339013118680057,0.2711656226826755,0.4576098688131994,False
1.0,0.1,1.75,0,0,0,841,0.849495,22,0,18,81,8,10,21.829,0.998811,0.5550778740476068,0.5550778740476068,0.2944171259523932,0.2944171259523932,False
0.0,0.15,1.74,0,0,0,859,0.900419,77,0,0,4,4,0,19.5665,0.998834,1.0,0.2542301939553966,-0.09958100000000003,0.6461888060446034,True
0.1,0.15,1.76,0,0,0,886,0.886,73,0,0,21,7,1,20.0069,1.0,0.9459881796013203,0.26917874889023613,-0.0599881796013203,0.6168212511097639,True
0.2,0.15,1.73,0,0,0,783,0.881757,59,0,0,29,8,1,19.8824,1.0,0.8982287287044473,0.28621453987178797,-0.01647172870444724,0.595542460128212,True
0.3,0.15,1.76,0,0,0,760,0.87963,47,0,0,41,7,1,19.3319,1.0,0.8556729616661019,0.3058459025776544,0.023957038333898173,0.5737840974223456,False
0.4,0.15,1.77,0,0,0,872,0.872,50,0,0,59,8,3,20.0635,1.0,0.8174951210234339,0.328769420578173,0.054504878976566085,0.5432305794218271,False
0.5,0.15,1.75,0,0,0,811,0.871106,45,0,0,54,12,2,20.2343,1.0,0.783036092777026,0.3559683412548377,0.08806990722297403,0.5151376587451624,False
0.6,0.15,1.77,0,0,0,851,0.871034,44,0,0,60,13,1,20.8938,1.0,0.7517633567835242,0.38888075750419404,0.11927064321647574,0.48215324249580593,False
